Department,Sub Dept 1,Sub Dept 2,Course_Name,ID,Grade Level(s),Prerequisite,Description,Term
Arts,Performing Arts,Dance,Dance Corps,66360,9th - 12th,Audition,"The Greenwich Academy Dance Corps is our resident dance company comprised of students from grades 9-12 who have been selected for their technical ability, interest in creative expression and commitment to dance. Once selected from an audition process during pre-season, Dance Corps members are invited to participate for the duration of their time at the Academy. Dance Corps members must take dance class as an alternative to P.E. at least two trimesters during the school year.  A commitment to Dance Corps includes rehearsal on Monday evenings and most Sunday afternoons to prepare for Winterfest and the Spring Dance Concert. These concerts are comprised of pieces choreographed primarily by Dance Corps members, incorporating a range of styles.  Dance Corps members also have the privilege of working with professional faculty and guest choreographers as part of our Upper School dance residency—an experience which broadens their understanding of movement and of the dance field.",Full Year
Arts,Performing Arts,Dance,Junior Dance Corps,66361,9th - 12th,Audition,"Junior Dance Corps is the preparatory company for the Greenwich Academy Dance Corps. Once selected from an audition process during pre-season, JDC members are invited to participate for the duration of their time at the Academy, or they may wish to audition again for admittance to Dance Corps. JDC is comprised of students in grades 9-12 who have exhibited a love of dance and a desire to build upon their creative and technical abilities. JDC meets every Thursday after school in the PAC. Members are required to participate in dance at least one trimester per year and perform in both Winterfest and the Spring Dance Concert. JDC members may be invited to showcase their choreography during their time in the company.",Full Year
Arts,Performing Arts,Instrumental Music,Band I,68352,9th,None,"This course is designed for all incoming 9th graders who wish to continue playing an instrument in an ensemble. This class offers varied instruction to all levels. It is open to all instrumentation including, brass, woodwinds, percussion, drum kit, bass (upright or electric), guitar (acoustic or electric), keyboard and strings. The primary goal is to foster a love of music and proficiency on their instrument. Students will learn music theory and improvisational skills through studying a varied repertoire of artists and styles including pop, rock, funk, blues, jazz, etc. This course will also help prepare each student for upper level ensembles.",Full Year
Arts,Performing Arts,Instrumental Music,Guitar I,68149,9th - 12th,None,"This course is designed to help students increase their guitar playing knowledge and ability. Students will also learn how to play in a group setting. Students will cover a variety of styles including rock, classical and popular music songs. We will also be covering basic chords, (barre and open) notes on the guitar neck and reading notes and rhythm. This class will perform at our three major concerts in the fall, winter and spring.",Full Year
Arts,Performing Arts,Instrumental Music,Honors Band II,68353,10th,None,"Band 2 is open to all instrumentation, including brass, woodwinds, percussion, electric bass and guitar, keyboard and strings. This course will further the student's knowledge of chord structure, scale usage, rhythm and form by studying various jazz styles and genres such as the blues, R&B, funk, swing, Latin and pop. Members of this band will continue to develop their own musical vocabulary and become more skilled at applying them to improvised solos and jazz technique.",Full Year
Arts,Performing Arts,Instrumental Music,Honors Guitar II,68249,10th - 12th,Guitar Ensemble I or departmental approval,"Guitar II is offered to students on both campuses who wish to increase their guitar playing skills beyond what is learned in Guitar I. Instruction includes advanced chords, power chords, finger-style picking, and reading tablature. All students will have the opportunity to learn to play bass guitar along with improving techniques and skills on electric guitar and acoustic guitar.",Full Year
Arts,Performing Arts,Instrumental Music,Honors Music Improv I,68157,10th - 12th,Band I or departmental approval,"Popular Music Education is becoming more and more popular in schools around the world because it provides the musician with a number of skills necessary to understand and directly apply musical concepts in a collaborative environment. At Brunswick, our Music Improv classes provide just that. Students work together with their instructor to pick repertoire that best showcases their abilities and talent. Through learning a varied repertoire of songs, students will better understand how to apply their knowledge of diatonic harmony and improvisational skills. All instrumentation are welcome! Students will have the opportunity to perform at all major concerts and functions throughout the year.",Full Year
Arts,Performing Arts,Instrumental Music,Honors Music Improv II,68357,11th - 12th,Audition or departmental approval,"Honors Music Improv II builds on the same foundation as Honors Music Improv I but explores repertoire that is slightly more demanding in terms of musical complexity. Students will have a better grasp on soloing and understand how to use modes as a springboard to improvisation. Rhythm sections will “lock” and groove with greater ease. Our Honors Music Improv bands are featured both in and out of school. They have been asked on several occasions to play at The Greenwich Town Party, sharing the bill with Eric Clapton and Santana to name a few.",Full Year
Arts,Performing Arts,Instrumental Music,Honors Recording Studio II,68254,10th - 12th,Recording Studio I,"This course is a continuation of the skills and techniques learned in Recording Studio I. This course will offer a number of project opportunities for students, such as recording CDs, creating background music and sounds for movie and theatrical productions, recording and engineering CDs for fellow classmates and becoming more advanced in the technical knowledge in this cutting edge technological field. Previous recording experience (or Recording Studio) is a prerequisite for this course.",Full Year
Arts,Performing Arts,Instrumental Music,Recording Studio I,68154,9th - 12th,None,"This course teaches students how to use the recording, mixing and engineering program, Logic Pro. Students need no prior experience or other music courses to participate in this class. During the year, students will learn the basic techniques necessary to record instruments and vocals. They will also learn basic piano theory along with rhythmic studies. Programming loops and original drum beats will help them in the composition of their own projects. There are also numerous opportunities for collaborative projects. Students will be able to present their work to the school community several times throughout the year.",Full Year
Arts,Performing Arts,Instrumental Music,The Blue Notes,68351,10th - 12th,Audition or departmental approval,"The Blue Notes provides an opportunity for students to perform in a traditional jazz big band. Strong sight-reading skills play a major role in this class. Students will develop the skills necessary to perform a varied repertoire with a focus on jazz. This group employs the traditional instrumentation of four trumpets, four trombones, five saxophones, piano, bass and drums. Members of the band will learn about the history of jazz as well as explore the melodic, harmonic and rhythmic concepts used to “speak” the language. Frequent playing tests (both individually and as a section) are used to measure the success of each member and section. Auditions are held in the spring for the following school year.



",Full Year
Arts,Performing Arts,Music Theory,AP Music Theory,66445,9th - 12th,Intro to Music Theory or departmental approval,"In AP Music Theory we will study the basic building blocks of music (i.e. notes, intervals, chords, melody, and harmony) by examining music from the Baroque period (17th century) through today’s pop songs. By the end of this course you will be able to listen to a piece of music and not only write down the melody, but comprehend and reproduce its underlying harmonies and formal structure. In addition, we will incorporate sight singing, arranging, and composition techniques to develop a deeper musical fluency. The course culminates in the AP Music Theory exam and a final composition/arranging project.",Full Year
Arts,Performing Arts,Theater,Acting I,68410,9th - 10th,None,"This full year course is designed for anyone who is interested in acting. Students will develop essential performance skills, including strong diction, confident stage presence, and the ability to portray a character effectively. Actors will learn to tackle a wide variety of material, from mastering challenging Shakespeare monologues to performing truthfully in contemporary scenes from modern plays and films. In addition to our in-class stage performances, we will work in collaboration with the film class to create short, filmed scenes. The course will be taught jointly by faculty from Greenwich Academy and Brunswick. Classes will be held on both campuses: one semester at Brunswick and one semester at Greenwich Academy.",Full Year
Arts,Performing Arts,Theater,Costume Design I,66411,9th - 12th,None,"Students will be introduced to the fundamentals of costume design in this open-level course. They will have the opportunity to learn every element from initial design concept to the final garment, while gaining hands-on experience. Students will explore styles (including wig, make up and accessory design) and their historical contexts ranging from two thousand years ago to present day. Show budgeting and basic sewing skills will be taught throughout the course with a culminating project, designing the Group V play.",Full Year
Arts,Performing Arts,Theater,Honors Acting II,68430,10th - 12th,Acting I or departmental approval,"Students will explore a variety of different acting techniques through vocal and movement exercises and in depth scene study. We will work to find the acting techniques that resonate best with each individual student by looking at some of theatre's most influential figures, such as Stanislavski, Meisner, Strasberg, Brecht, and Suzuki. The ways in which theatre has questioned and challenged cultural norms of each generation will also be explored. The course will be taught jointly by faculty from Greenwich Academy and Brunswick with classes being held on both campuses.",Full Year
Arts,Performing Arts,Theater,Honors Acting III,68433,11th - 12th,Honors Acting II and departmental approval,"This course, for both the actor and director, investigates tools to create a character on stage. Students will take turns between acting and directing scenes after a thorough analysis of the material. Through advanced scene study students will focus on process as well as product. Course projects will include showing one’s work as both actor and director to an audience.",Full Year
Arts,Performing Arts,Theater,Honors Costume Design II,66413,10th - 12th,Costume Design I,"This course offers opportunity for students to further develop skills learned in Costume Design I. Students will experience new approaches to the art of Costume design with the use of 3D printers and laser cutters in the engineering and design labs. In addition, students will continue to build on their knowledge of historical styles, budgeting, and garment construction. In the culminating project, students will design costumes for the Group VII play beginning with the initial concept to the finished garments.


",Full Year
Arts,Performing Arts,Theater,Honors Design and Stage Craft,68424,10th - 12th,Theatrical Design and Stage Craft II or departmental approval,"Requiring the foundational skills gained through Theatrical Design and Stage Craft II, this class focuses coursework on one to two chosen areas of specialized study within the technical theater realm. Honors students may elect to pursue advanced projects in the following areas: set design/construction, light design/electrics, sound design/audio engineering, and/or technical direction. Practicums are required for various concerts and special events during the academic year. These experiential projects are used as training exercises in anticipation of Brunswick's fall play, winter musical, and spring comedy, for which students will be assigned management-level production posts in their chosen area(s).",Full Year
Arts,Performing Arts,Theater,Honors Playwriting and Directing,66424,11th - 12th,Honors Acting or departmental approval,This course gives students the opportunity to write their own short scenes and one-act plays and develop them into a theatrical production. Members of the class serve as actors and directors for one another. Students will help bring original student works to life by providing input from these different perspectives so that everyone can experience the advantage of thoughtful collaboration in the creation of a new play. Each student’s final script will be entered in the Stamford Young Playwright competition.,Full Year
Arts,Performing Arts,Theater,Honors Theatrical Design and Stage Craft II,68423,10th - 12th,Theatrical Design and Stage Craft I or departmental approval,"Students continue their education in stage technology and design in this second year course. Advanced study in set construction, lighting, and sound combines with an introduction to the Color Kinetics LED lighting system in the Baker Theater. Students also continue study in set, lighting, and sound design principles through a partnership with the Acting II class wherein they will plan, design, and execute small theater projects.  Technical design using the computer drafting program AutoCAD, basic set design sketching, lighting plot design, and sound design principles are also introduced.",Full Year
Arts,Performing Arts,Theater,Theatrical Design and Stage Craft I,68421,9th - 12th,None,"Students are introduced to the elements of basic stagecraft in this open-level course. Utilizing the state-of-the-art resources in the Baker and Black Box Theaters, students focus on the professional conventions used today in set construction, scene painting, costumes, lighting, and sound. Students have the opportunity to learn experientially using cutting-edge stage, lighting, and sound equipment as crew members for the various productions that happen throughout the year.",Full Year
Arts,Performing Arts,Vocal/Choral Music,Bel Canto,66100,9th - 10th,None,"This course is open to any GA student who is interested in singing. The focus of the class is to build a healthy vocal technique for each singer, whether her goal is to perform in school musicals or audition for Madrigal Singers. Singers will perform as an ensemble in school concerts throughout the year, studying treble literature of all styles, from classical to popular music.  Bel Canto (from the Italian, beautiful singing) is a style that emphasizes beauty of tone throughout the full range of the voice. Students will also concentrate on improving sight-singing skills through solfege study and basic music theory.  

Bel Canto is a prerequisite course for Madrigal Singers.",Full Year
Arts,Performing Arts,Vocal/Choral Music,Gospel Choir,66201,9th - 12th,None,"Gospel choir is open to students in both Brunswick and Greenwich Academy. Participating members will receive one half-credit for the year towards their arts requirement. Students will have the opportunity to explore the various styles of gospel music, both contemporary and traditional. Emphasis will be placed on strengthening vocal technique and part singing ability. Singers will perform as an ensemble with solo opportunities throughout the school year. No audition is necessary. Rehearsals are held during the Clubs time on Fridays with some additional rehearsals scheduled as needed. Students will perform for concerts and assemblies during the school year.",Full Year
Arts,Performing Arts,Vocal/Choral Music,Madrigal Honors Ensemble,66300,10th - 12th,Bel Canto; audition required,"This course is designed to offer the most advanced level of choral music training at the Academy. The Madrigal Singers study treble literature of all periods, from the Renaissance through contemporary music. Their schedule includes several performances a year for school and community events and an international tour every two years.
 
Musical excellence is achieved by emphasis on ear training, vocal/choral techniques, and study of the highest quality literature written for women’s voices. Solfege is the foundation of sight-reading using the Oxford Folk Song Sight Singing Series and other methodologies. Students are assessed through regular singing tests in solfege and in the performance repertoire. Auditions are held in the spring for the following school year. Students with other choral experience or voice training may audition with permission of instructor.

As part of the course, Madrigals participate in an international tour every two years.  The next tour is scheduled for June of 2024.

",Full Year
Arts,Performing Arts,Vocal/Choral Music,Morning M.O.B.,68320,9th - 12th,Audition will take place the first week of school.,"Men Of Brunswick is an audition-based class designed for singers that can recognize pitch, tone color, and rhythms by hearing, and then demonstrating that through singing and performance. In this advanced choir, students will learn advanced skills of singing and reading music. This class offers opportunities for students to develop team-building and leadership skills while performing various styles of music such as pop, gospel, classical and musical theater. Students will perform at our three major concerts in the fall, winter, spring and also include football games and various events throughout the school year. The ensemble will be limited to 20-25 members and will meet three mornings per week.",Full Year
Arts,Visual Arts,,American Film and Beyond (s),36450,10th - 12th,None,"This course will celebrate the Big Screen picture from Hollywood and beyond. Through readings, screenings and demonstrations, we will examine the craft, meaning and impact of some of the great films of the past 100 years. We will explore the role of the producer, writer and director in developing the script. We will learn how cinematographers, production designers and editors shape images and sounds. We will look into the varying methods that produce performances that move us. We will discuss the criticism and business practices that define the tension between the art and commerce of moving pictures. Our work will always consider how film impacts and reflects relevant cultural landmarks of the day. During each semester we will focus on different themes including art versus entertainment, the teenage experience, life during wartime, civil rights, and gender roles. Students will be assessed on content through short written responses and in-class discussions. Final projects, highlighting the confluence of disciplines required to produce a film, will be fulfilled through an in-class presentation or paper.
					
This class can be taken in conjunction with the fall semester class, ""American Film: Big Screen Cultural Reflections,""for full year credit, or as a one-semester course in the spring.",Semester 2 - Spring
Arts,Visual Arts,,American Film: Big Screen Cultural Reflections (f),36404,10th - 12th,None,"This course will celebrate America’s most vivid cultural product, the Big Screen picture. Through readings, screenings and demonstrations, we will examine the craft, meaning and impact of some of the great films of the past 100 years. We will explore the roles of the producer, writer and director in developing the script. We will learn how cinematographers, production designers and editors shape images and sounds. We will look into the varying methods that produce performances that move us. We will discuss the criticism and business practices that define the tension between the art and commerce of moving pictures. Our work will always consider how film impacts and reflects US cultural landmarks of the day. Themes to explore include art versus entertainment, the teenage experience, life during wartime, civil rights, and gender roles. Students will be assessed on content through short written responses and in-class discussions. Final projects, highlighting the confluence of disciplines required to produce a film, will be fulfilled through an in-class presentation or paper.
					
This class can be taken in conjunction with the spring semester class, ""American Film and Beyond,"" for full year credit, or as a one-semester course in the fall.",Semester 1 - Fall
Arts,Visual Arts,,AP Studio Art: 2-D Design Portfolio (BR),68505,10th - 12th,Departmental approval,"The two-dimensional design portfolio is intended to address a very broad interpretation of two-dimensional (2-D) design issues. This type of design involves purposeful decision-making about how to use the elements and principles of art in an integrative way. The elements of design (line, shape, illusion of space, illusion of motion, pattern, texture, value and color) are like a palette of possibilities that artists use to express themselves. The principles of design help guide artists in making decisions about how to organize the elements on a picture plane in order to communicate content. In addition to general work in 2-D design, a concentration is required for the course. A sustained investigation is a body of related works based on an individual’s interest in a particular idea expressed visually. It focuses on a process of investigation, growth and discovery. This portfolio can include the use of advanced technology, digital photography, computer art, computer graphics, graphic design, collage, typography, product design, fabric design, weaving, illustration, drawing, painting, printmaking, etc.",Full Year
Arts,Visual Arts,,AP Studio Art: 2-D Design Portfolio (GA),66490,10th - 12th,Departmental approval,"At Greenwich Academy, individual ideas are prized and all methods and materials are acceptable in making art for the AP 2-D Design portfolio. Students pose a personal question and then answer it through visual means. There is no preferred content or style.  Students generate questions related to their experiences. They select materials, processes, and ideas to investigate, guided by their questions. They make work through practice, experimentation, and revision using selected components, developing skills in connecting materials, processes, and ideas within their work.

Methods and materials cover the gamut of art making. Everything from graphic design, digital imaging, photography, collage, fabric design, weaving, painting and printmaking are among the possibilities for portfolio submission.",Full Year
Arts,Visual Arts,,AP Studio Art: 3-D Design Portfolio (BR),68510,10th - 12th,Departmental approval,"The three-dimensional design portfolio is intended to address a broad interpretation of sculptural issues in depth and space. These may include mass, volume, form, plane, light, and texture. Such elements and concepts may be articulated through additive, subtractive, and/or fabrication processes. A variety of approaches to representation, abstraction, and expression may be part of the student’s portfolio. These might include traditional sculpture, laser cut design sculpture, architectural models, ceramics, three-dimensional fiber arts or metal work, among others. A sustained investigation of works based on an individual’s interest in a particular idea expressed visually is required.",Full Year
Arts,Visual Arts,,AP Studio Art: 3-D Design Portfolio (GA),66489,10th - 12th,Departmental approval,"This portfolio is designed for work that focuses on the use of three-dimensional (3-D) elements and principles of art and how the artwork expresses these concepts in various forms.

A variety of approaches may include traditional sculpture, architectural models, ceramics (functional and abstract), fiber, and metal work, among others. A concentration of visual work is required, which is based on the student’s interests. Experimentation and development of technique and expertise with materials is important.

Students consider how materials, processes, and ideas can be used to make work that involves space and form. Each student will have an original and unique body of work for portfolio submission.",Full Year
Arts,Visual Arts,,AP Studio Art: Drawing Portfolio (BR),68500,10th - 12th,Departmental approval,"The drawing portfolio is designed to address a broad interpretation of drawing issues and media. Light and shade, line quality, rendering of form, composition, surface manipulation and illusion of depth are drawing issues that can be addressed through a variety of means. Many works of painting, printmaking and mixed media as well as abstract, observations and inventive works may qualify. The goal of the class is to address drawing issues, and also to develop a concentration, which is a body of related works based on an individual’s interest in a particular idea expressed visually. It focuses on a process of investigation, growth, and discovery.",Full Year
Arts,Visual Arts,,AP Studio Art: Drawing Portfolio (GA),66500,10th - 12th,Departmental approval,"At Greenwich Academy, individual ideas are prized and all methods and materials are acceptable in making art for the AP Drawing portfolio. Students pose a personal question and then answer it through visual means. There is no preferred content or style. Students generate questions related to their experiences. They select materials, processes, and ideas to investigate, guided by their questions. They make work through practice, experimentation, and revision using selected components, developing skills in connecting materials, processes, and ideas within their work.

The AP Drawing course focuses on the use of mark-making to render ideas. Students will use a variety of mark-making techniques, lines, textures, surface, space, light and shade and composition using all the drawing materials and processes that are available. There is no preferred content or style. Drawing, painting, printmaking and mixed media work are all acceptable methods of making art.

Students will create a portfolio of work for submission.",Full Year
Arts,Visual Arts,,Architectural Space & Design Elements I (f),68144,10th - 12th,"Architecture & Design I, Architecture & Design II or departmental approval","This is an introductory course to architectural design and examines the relationship between interior and exterior spaces. Students will involve themselves with the development of an idea from concept to construction using a series of problem solving and design techniques. Students will use a variety of media to develop their ideas and construct their concepts. Students will be introduced to the computer program, Google SketchUp, which will allow the development of design ideas and presentation. This course is a complement to Architecture and Design I.",Semester 1 - Fall
Arts,Visual Arts,,Architectural Space & Design Elements II (s),68146,10th - 12th,"Architecture & Design I, Architecture & Design II or departmental approval","Architects envision, design, and process ideas though a variety of different media. They record concepts, test scenarios, and resolve problems for spaces. This course will concentrate on the designing and making of functional and/or sculptural elements for an architectural space. Using a combination of problem solving design techniques students will involve themselves with the understanding of an idea from concept to construction. Using state-of-the-art equipment and our shop space, students will learn how to design and construct. This course is a complement to the other architecture classes, which concentrates on the exterior of architectural spaces. This course focuses on the design of interior space.",Semester 2 - Spring
Arts,Visual Arts,,Architecture & Design I (f),68143,9th - 10th,None,"This is an introductory course in which basic fundamentals of architectural design are examined and perfected. Using a combination of problem solving, drawing, and construction techniques students will be introduced to how an idea develops from concept to construction. Students will be introduced to the computer program Google SketchUp which allows the development of design ideas and presentation. This course culminates with a series of three-dimensional explorations using a variety of materials and techniques.",Semester 1 - Fall
Arts,Visual Arts,,Architecture & Design II (s),68145,9th - 10th,None ,"This course is a practical look at architecture through drawing, design, and construction using a variety of different media. It is structured to develop an understanding and ability to use representational media to visualize, document, investigate, and present intentions within the graphic language of architectural communication. Students will be introduced to computer programs AutoCad and Rhino, which will allow for the development of design ideas and presentation. This course culminates with a series of three- dimensional explorations.",Semester 2 - Spring
Arts,Visual Arts,,Art and Design I (f),68147,9th - 12th,None,"The course emphasizes the fundamentals of fine art techniques including drawing, painting, printmaking, computer graphics, ceramics and sculpture. Important art concepts as composition, perspective, and color theory are introduced. The course challenges each student to think critically and creatively, be original, and to experiment with a variety of materials. Students work from observation, memory, imagination, and personal expression toward styles that express their own vision. They are exposed to historical and contemporary art through visits to museums and galleries, slide presentations, and visits from professional guest artists. Students who have successfully completed this course will be approved for an AP course the following year.",Semester 1 - Fall
Arts,Visual Arts,,Art and Design I (s),68148,9th - 12th,None,"The course emphasizes the fundamentals of fine art techniques including drawing, painting, printmaking, computer graphics, ceramics and sculpture. Important art concepts as composition, perspective, and color theory are introduced. The course challenges each student to think critically and creatively, be original, and to experiment with a variety of materials. Students work from observation, memory, imagination, and personal expression toward styles that express their own vision. They are exposed to historical and contemporary art through visits to museums and galleries, slide presentations, and visits from professional guest artists. Students who have successfully completed this course will be approved for an AP course the following year.",Semester 2 - Spring
Arts,Visual Arts,,Art I,61000,9th,None,"The course emphasizes the fundamentals of fine art techniques including drawing, painting, printmaking, computer graphics, ceramics and sculpture. Important art concepts as composition, perspective, and color theory are introduced. The course challenges each student to think critically and creatively, be original, and to experiment with a variety of materials. Students work from observation, memory, imagination, and personal expression toward styles that express their own vision. They are exposed to historical and contemporary art through visits to museums and galleries, slide presentations, and visits from professional guest artists. A sketchbook for developing designs and a portfolio review are part of the course. Students who have successfully completed this course will be approved for an AP course the following year.",Full Year
Arts,Visual Arts,,Ceramics I,62000,9th - 12th,None,"This course will introduce students to the core techniques of working with clay. We will cover handbuilding (pinch, coil & slab construction) and wheel-throwing, as well as a variety of surface decoration processes. Assignments will encourage students to explore new ideas and methods, while giving them the creative freedom to create exciting and unique work.",Full Year
Arts,Visual Arts,,Computer Graphics I,68150,9th - 12th,None,"This course offers the opportunity for students to develop and explore the unlimited design and visual communication possibilities that computers have to offer. The class will cover the use of computers and cameras as tools of the artist, photographer, graphic designer, product designer, and web designer. The goal of the class is to explore computer technology and use it to foster creative thinking as an artist's tool and as a way to enhance the visual clarity and style of any design work. Students will be working with a variety of modern design software, and will adapt to the frequent changes occurring in the fields of computers and interactive media. Hardware includes computers, slide and flatbed scanners, digital cameras, color laser printers and the Internet. There may be some cross-curricular exploration with other arts classes as well. Students who have successfully completed this course will be approved for an AP course the following year.",Full Year
Arts,Visual Arts,,Film Production I,66501,9th - 12th,None,"This course focuses on the development of introductory film production skills. Students will work collaboratively through a series of creative challenges and assignment prompts to develop strong creative problem-solving skills in the film studio.  They will learn to write, storyboard, shoot, and edit footage; creating several short films over the course of the year.  Students will produce work using digital cameras (Canon HD XA10’s) and edit in Final Cut Pro. Discussion and application of techniques such as camera frame, continuity, coverage, and montage will be addressed. We will also explore new and emerging technology and experimental camera apps. Both feature and short films will be screened as related to assignments.",Full Year
Arts,Visual Arts,,Honors Art II,68400,10th - 11th,Art I or departmental approval,"This course offers a varied development of broad range art techniques and processes. The course covers all the major disciplines in art which may include drawing, design, painting, computer graphics, ceramics, textiles, printmaking, and a wide range of sculptural techniques. The projects and themes are very open, leaving as much scope for individual learning as possible. Students are encouraged to develop their own personal themes and topics. A sketchbook for developing design ideas, guest artists and a portfolio review are important aspects of the course. Students will develop works in this course that may be included in the Advanced Placement 2D Design and Drawing portfolios.",Full Year
Arts,Visual Arts,,Honors Ceramics II: Ceramic Sculpture (BR),68142,10th - 12th,"Art I, Ceramics I or departmental approval","This course is designed for second-year Ceramics students to advance their range of ceramic techniques and processes, including throwing and hand building, slips, glazes and decoration styles, and firing. They also explore working with different mediums like wire, wood, and plaster with their clay elements. The students are asked to be more independent in the choosing of the themes and topics of the works. The course is built as a lead-in to the Advanced Placement studio courses. Assessment is based on the breadth and quality of the portfolio.",Full Year
Arts,Visual Arts,,Honors Ceramics II: Skills (GA),66402,10th - 12th,"Art I, Ceramics I or departmental approval","In this course, students will advance their technical skills while finding their voice in the medium. We will investigate ceramics through sculptural and utilitarian applications inspired by historical and contemporary works. Projects will prompt individual problem-solving and interpretation with a focus on craftsmanship and individual expression.",Full Year
Arts,Visual Arts,,Honors Ceramics III: Voice (GA),66407,10th - 12th,"Art I, Ceramics I or departmental approval","This third year Honors Ceramics course supports students’ deeper inquiry of the medium. We will learn more about ceramic materials, glaze chemistry, loading and firing work - giving students greater access to the multi-stage process of bringing their ideas to fruition. Students will continue to use a mix of handbuilding and wheel-throwing to develop their creative voice through self-chosen lines of inquiry.",Full Year
Arts,Visual Arts,,Honors Computer Graphics II,68250,10th - 12th,Computer Graphics I,"This course offers the opportunity for students who have already taken the computer graphics class to explore this art form at a more advanced level. Students will be working with a variety of modern design software and will adapt to the frequent changes occurring in the fields of computers and interactive media. The class will cover the use of computers and cameras as tools of the artist, photographer, graphic designer, product designer, and web designer. Hardware includes computers, slide and flatbed scanners, digital cameras, color laser printers and the Internet. There may be some cross-curricular exploration with other arts classes as well. By the end of this class, students will be expected to produce work meant for a college portfolio or an Advanced Placement concentration. The concentration is a focused body of work exploring a personal, central interest as intensively as possible.",Full Year
Arts,Visual Arts,,Honors Engineering and Design I: Inventor's Workshop,36402,11th - 12th,"Departmental approval and pre-course survey
*This course is offered jointly through the Engineering & Computer Science and Visual Arts departments and will be listed under both departments","While Inventor’s Workshop focuses on design, building, digital fabrication, creative coding, programming microcontrollers, and electronics, it is not your typical engineering course. In this course you will be able to bring your personal design and engineering ideas to life. Held in GA’s E+D Lab and built around a collection of core projects, this course is designed to bring out the creative potential in every student. Our lab work is grounded in experimentation, possibilities, and documenting the process, as students narrow down their ideas towards a finished product. This honors level course will prepare students with all of the technical tools and problem solving skills needed for Engineering and Design II, as well as advanced design, interactive, and new media possibilities in the visual arts.",Full Year
Arts,Visual Arts,,Honors Engineering and Design II: Inventions that Make Life Better,36403,11th - 12th,"Honors Engineering and Design I (GA) 
*This course is offered jointly through the Engineering & Computer Science and Visual Arts departments and will be listed under both departments. ","This course is designed for students who have experience working with 2D and 3D design, digital fabrication, electronics and microcontrollers and would like to apply these skills to engineering problems of their design.  Students will engage with the cyclical engineering design process to come up with solutions to real-life problems.  Greenwich Academy’s Engineering and Design Lab offers state-of-the art fabrication machines and tools for building and prototyping their designs.  Over the course of the year, students will have the opportunity to present their work and receive feedback from community members and professionals working in the fields of art, design, and engineering.",Full Year
Arts,Visual Arts,,Honors Film Production II,66502,10th - 12th,Film Production I  ,"The Film Production II class offers students the opportunity to further develop their film creation, production and editing skills while exploring new genres and techniques of filmmaking. The focus will be on more advanced levels of editing within Final Cut Pro. Additional time will be spent exploring the range of manual operations on the camera including white balance, exposure and shutter speed.  Students will develop, script and produce several short films each semester. We will also explore new and emerging technology and experimental camera apps. Both feature and short films will be screened as related to assignments.",Full Year
Arts,Visual Arts,,Honors Film Production III (BR),68520,10th - 12th,Honors Film Production II or departmental approval,"As a continuation from the build blocks set forth in Film I & II, students will take a more independent journey into video production. Stylistic freedom with be given to the Honors student in the evolution of their content, from conceptual ideas, production advancement, to the final film rendering. Peer groups will be formed to assess and edit ideas as a final script is formed. Students will determine their own shooting schedules and will be assessed weekly on the content they create. Both student and teacher evaluations will be conducted throughout the production process. Collaboration with the Recording Studio and Acting classes with also take place for cross-curricular amelioration. Students will work with DSLR cameras to maximize the quality of their shoots and will edit in Final Cut Pro X.  Student’s will also view and critique professional and independent films in the journey to better understand their own work.",Full Year
Arts,Visual Arts,,Honors Film Production III (GA),66504,10th - 12th,Honors Film Production II or departmental approval,"This class will provide an opportunity for students who are serious about filmmaking to continue to produce work at a higher and more personal level. Each student will determine the direction, production calendar, and goals for his/her individual creative pursuit. Students will produce work on Canon 5D Mark lll cameras and edit in Final Cut Pro. They will be required to assist each other in writer’s room, during critiques, while screening professional and festival films, and as crew for each other during production blocks. Time will be dedicated to developing script arcs, beat sheets, storyboarding, and ultimately translating ideas to screen. Preparation of individual film reels for college review will be ongoing throughout the year.",Full Year
Arts,Visual Arts,,Honors Film Production IV (GA),66506,12th,Honors Film Production III,"In this class, students will be given the opportunity to conceive, develop, and produce completely independent, upper-level film projects. Students’ work can be created as either single, long form films, or as a series of shorts sharing ideas, focus, or content. Students may work individually or in collaborative teams pending teacher approval. Screenings, critiques, and new equipment workshops will be used throughout the year. This is a highly self-driven, process and product based, upper-level, creative class.",Full Year
Arts,Visual Arts,,Honors Seminar: Open Art Studio (GA),66602,11th - 12th,Honors Art II and departmental approval or AP Studio,"This course is designed for advanced students to further their exploration in making Art. The course provides the student with a wide berth of flexibility, allowing for skills to be honed, unique ideas to be developed, and experimentation with materials to be expanded. Students will pursue their individual projects under the guidance of the Visual Arts faculty and will participate in the Honors Slide Show in May.",Full Year
Arts,Visual Arts,,Intermediate Drawing (s),66631,10th - 12th,Introduction to Drawing (f),This course is designed to address personal ideas and imaginative concepts through continued exploration of drawing techniques. The course will include sustained investigation of personal art ideas. These techniques will continue to build a drawing portfolio that can be used as the foundation for the AP Drawing course.,Semester 2 - Spring
Arts,Visual Arts,,Introduction to Drawing (f),66630,10th - 12th,None,"The goal of this course is to develop basic drawing skills that will be your foundation for taking AP Drawing the next year. The class will cover rendering gesture, contour, mass, form, conveying light and dark, line quality and a wide variety of mark-making and composition ideas, as well as imaginative drawing.  A wide variety of drawing media and tools will be used, including pencil, charcoal, pen, pastels, watercolors, printmaking and more.",Semester 1 - Fall
